,Borough,Neighborhood,ID,Name,Likes,Rating,Tips
0,Queens,Astoria,4aa9b377f964a520f15420e3,Golden House Chinese Restaurant,3,7.4,6
1,Queens,Astoria,4bbc15b3ed7776b0b5563f51,Sampan,7,7.5,4
2,Queens,Woodside,4ae1d8b2f964a520e78721e3,Peking BBQ Chicken,47,8.2,26
3,Queens,Woodside,0,0,0,0.0,0
4,Queens,Elmhurst,56296f14498edb1ed77b64a3,Five Loaves and Two Fishes,10,8.3,1
5,Queens,Elmhurst,4eaf0752d3e30d448393b841,Lao Bei Fang,80,8.3,49
6,Queens,Elmhurst,4b944c64f964a520907334e3,Sweet Yummy House 三好小馆,18,7.5,7
7,Queens,Howard Beach,4ba57b0af964a5205f0b39e3,Empire Buffet,19,5.9,5
8,Queens,Forest Hills,4b68c90ff964a520da8c2be3,Great Wall Chinese Restaurant,5,7.6,2
9,Queens,Kew Gardens,4c350ac6452620a1502b260f,New China Fresh,4,6.6,4
10,Queens,Kew Gardens,4c585bb82308be9ab3405b6c,Jade Chinese Restaurant,5,6.6,3
11,Queens,Kew Gardens,4c09da86ffb8c9b6b0bd6a61,Great Taystee Gardens,4,5.8,6
12,Queens,Kew Gardens,0,0,0,0.0,0
13,Queens,Richmond Hill,0,0,0,0.0,0
14,Queens,Flushing,5747a89b498ee4b7a5106556,DunHuang Lanzhou Beef Noodle,32,8.7,10
15,Queens,Flushing,4af5fd0af964a520daff21e3,Hunan House Chinese Restaurant,32,7.2,24
16,Queens,Flushing,52235ea211d2fe55782d764c,Dong Yi Feng,16,7.7,1
17,Queens,Flushing,4abfef82f964a520179320e3,New Imperial Palace 東湖,63,7.5,31
18,Queens,Flushing,0,0,0,0.0,0
19,Queens,Long Island City,5c9a607d25fb7b002c724043,Xi'an Famous Foods,19,9.1,3
20,Queens,Long Island City,4bf9cf945317a5935aec017f,Mr. Wonton,4,6.5,3
21,Queens,Sunnyside,4b4a7016f964a520a18726e3,Ten Full Chinese,8,6.5,6
22,Queens,Sunnyside,4aece833f964a52024cc21e3,Tangra Fusion,26,6.7,15
23,Queens,Sunnyside,0,0,0,0.0,0
24,Queens,Maspeth,0,0,0,0.0,0
25,Queens,Rego Park,4bafed40f964a520152c3ce3,Grand Sichuan,21,7.2,11
26,Queens,Rego Park,0,0,0,0.0,0
27,Queens,College Point,4d8805b7d85f370481b0c9db,Little Pepper,71,8.1,37
28,Queens,Bayside,0,0,0,0.0,0
29,Queens,Little Neck,53794fd211d282a3cce576a2,Little Dumpling 李小籠,100,8.3,31
30,Queens,Little Neck,4bc25d5b4cdfc9b627109621,Northern Manor 同乐轩,43,6.7,17
31,Queens,Little Neck,571ab7b2498ed52e0d5f4bca,LN1380 舍得食府,26,6.7,5
32,Queens,Little Neck,0,0,0,0.0,0
33,Queens,Little Neck,0,0,0,0.0,0
34,Queens,Douglaston,0,0,0,0.0,0
35,Queens,Bellerose,0,0,0,0.0,0
36,Queens,Bellerose,0,0,0,0.0,0
37,Queens,Kew Gardens Hills,0,0,0,0.0,0
38,Queens,Fresh Meadows,0,0,0,0.0,0
39,Queens,Fresh Meadows,0,0,0,0.0,0
40,Queens,Jamaica Center,5aef90f3b9b37b002ceb20d4,Panda Express,0,6.7,0
41,Queens,Oakland Gardens,5a2b366193bd636532b50bdb,Little Dumpling,10,7.4,1
42,Queens,Oakland Gardens,4b0ae7a3f964a520c92923e3,Empire Garden,6,7.0,6
43,Queens,Hollis,0,0,0,0.0,0
44,Queens,St. Albans,0,0,0,0.0,0
45,Queens,Rochdale,0,0,0,0.0,0
46,Queens,Springfield Gardens,0,0,0,0.0,0
47,Queens,Rosedale,0,0,0,0.0,0
48,Queens,Far Rockaway,4e4e41e8bd4101d0d7a620e0,Magic Wok,13,7.8,8
49,Queens,Far Rockaway,4eb9c26046906fa3574d411f,Lucky Cornaga,7,7.1,0
50,Queens,Far Rockaway,0,0,0,0,0
51,Queens,Beechhurst,0,0,0,0,0
52,Queens,Rockaway Beach,0,0,0,0,0
53,Queens,Floral Park,0,0,0,0,0
54,Queens,Queensboro Hill,4ac90140f964a520f7bd20e3,Main Street Taiwanese Gourmet 北港台菜,62,7.9,28
55,Queens,Queensboro Hill,4f844c6fe4b0059705cb042c,Lake Pavilion Restaurant,116,7.0,42
56,Queens,Queensboro Hill,4c56000b3e2220a163eb3ea5,88 Canteen,15,6.3,10
57,Queens,Ravenswood,4ae78dbff964a52056ac21e3,Fatima's Halal Kitchen,42,8.0,32
58,Queens,Ravenswood,5cbb548166f3cd002cce8aeb,Bund On Broadway,15,7.7,8
59,Queens,Lindenwood,0,0,0,0,0
60,Queens,Belle Harbor,0,0,0,0,0
61,Queens,Bellaire,4c59c1d3d3aee21ea2066955,China King,3,6.5,3
62,Queens,Forest Hills Gardens,0,0,0,0,0
63,Queens,Jamaica Hills,4ce49482e571a09332bc8587,Sagar Chinese,17,7.1,15
64,Queens,Jamaica Hills,0,0,0,0,0
65,Queens,Jamaica Hills,0,0,0,0,0
66,Queens,Utopia,0,0,0,0,0
67,Queens,Pomonok,0,0,0,0,0
68,Queens,Astoria Heights,0,0,0,0,0
69,Queens,Hunters Point,5d4ca3935f1a6b000782c119,Chairman Sun 国色天湘,7,7.9,3
70,Queens,Sunnyside Gardens,4bb91c86b35776b0e5a1c901,Golden Wok,7,7.4,4
71,Queens,Middle Village,0,0,0,0,0
