,Borough,Neighborhood,ID,Name,Likes,Rating,Tips
0,Staten Island,Stapleton,0,0,0,0,0
1,Staten Island,West Brighton,0,0,0,0,0
2,Staten Island,New Springville,0,0,0,0,0
3,Staten Island,New Springville,0,0,0,0,0
4,Staten Island,New Dorp,4c14210c7f7f2d7fae69e068,Crown Palace,9,5.8,5
5,Staten Island,Great Kills,4b747adcf964a52010df2de3,Lucky Fortune Chinese Restaurant,8,6.5,6
6,Staten Island,Woodrow,0,0,0,0,0
7,Staten Island,Dongan Hills,4bba73677421a593ebd4c340,Jac Mao,23,7.9,12
8,Staten Island,Midland Beach,0,0,0,0,0
9,Staten Island,Rossville,0,0,0,0,0
10,Staten Island,Bulls Head,5165e9fee4b08d4837e87f35,Empire East,5,7.1,4
11,Staten Island,Bulls Head,0,0,0,0,0
12,Staten Island,Shore Acres,0,0,0,0,0
13,Staten Island,Clifton,0,0,0,0,0
14,Staten Island,Concord,0,0,0,0,0
15,Staten Island,Manor Heights,4be75c8f2468c928fc720243,Tack's Chinese Take Out,7,7.1,8
